song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Tuna Punk,Manolo Kabezabolo,0.518,0.922,0,-8.613,1,0.0598,0.69,0.0,0.693,0.787,81.668,72333,4,audio_features,1WI2F2UtujhEdx8gdD8Gy4,spotify:track:1WI2F2UtujhEdx8gdD8Gy4,https://api.spotify.com/v1/tracks/1WI2F2UtujhEdx8gdD8Gy4,https://api.spotify.com/v1/audio-analysis/1WI2F2UtujhEdx8gdD8Gy4,{'spotify': 'https://open.spotify.com/track/1WI2F2UtujhEdx8gdD8Gy4'}
Las Gafas de Sol,Manolo Kabezabolo,0.323,0.988,9,-5.813,1,0.119,0.00174,7.08e-05,0.124,0.322,155.788,195707,4,audio_features,14cBNZh8gttMIy3N07aSUp,spotify:track:14cBNZh8gttMIy3N07aSUp,https://api.spotify.com/v1/tracks/14cBNZh8gttMIy3N07aSUp,https://api.spotify.com/v1/audio-analysis/14cBNZh8gttMIy3N07aSUp,{'spotify': 'https://open.spotify.com/track/14cBNZh8gttMIy3N07aSUp'}
Siervos del Poder,Nucleo Terco,0.34,0.977,9,-1.798,1,0.0487,0.00022,0.000143,0.516,0.5,164.993,185104,4,audio_features,0RfIHkGF6zbv2PMlAyuZWi,spotify:track:0RfIHkGF6zbv2PMlAyuZWi,https://api.spotify.com/v1/tracks/0RfIHkGF6zbv2PMlAyuZWi,https://api.spotify.com/v1/audio-analysis/0RfIHkGF6zbv2PMlAyuZWi,{'spotify': 'https://open.spotify.com/track/0RfIHkGF6zbv2PMlAyuZWi'}
Facción Ilegal,Nucleo Terco,0.34,0.959,9,-1.973,1,0.0648,0.000284,1.02e-06,0.758,0.543,160.212,156082,4,audio_features,1qBcE7I7d5AFVzajTM9LEq,spotify:track:1qBcE7I7d5AFVzajTM9LEq,https://api.spotify.com/v1/tracks/1qBcE7I7d5AFVzajTM9LEq,https://api.spotify.com/v1/audio-analysis/1qBcE7I7d5AFVzajTM9LEq,{'spotify': 'https://open.spotify.com/track/1qBcE7I7d5AFVzajTM9LEq'}
Sin Miedo,Nucleo Terco,0.356,0.967,11,-1.233,0,0.0618,0.00188,1.43e-06,0.802,0.582,84.839,152033,4,audio_features,7kGiAsGBeYnC6DEdQu44H5,spotify:track:7kGiAsGBeYnC6DEdQu44H5,https://api.spotify.com/v1/tracks/7kGiAsGBeYnC6DEdQu44H5,https://api.spotify.com/v1/audio-analysis/7kGiAsGBeYnC6DEdQu44H5,{'spotify': 'https://open.spotify.com/track/7kGiAsGBeYnC6DEdQu44H5'}
Cantares,Disidencia,0.333,0.915,7,-3.66,1,0.156,0.268,0.0,0.19,0.418,155.028,193520,4,audio_features,6YTqHfMKYFwWQgDgtfjReI,spotify:track:6YTqHfMKYFwWQgDgtfjReI,https://api.spotify.com/v1/tracks/6YTqHfMKYFwWQgDgtfjReI,https://api.spotify.com/v1/audio-analysis/6YTqHfMKYFwWQgDgtfjReI,{'spotify': 'https://open.spotify.com/track/6YTqHfMKYFwWQgDgtfjReI'}
Que Te Vaya Bien,Disidencia,0.477,0.947,9,-5.832,0,0.0498,0.000278,0.000337,0.151,0.786,95.925,158267,4,audio_features,41E8IHP0kDBnCjq2ci1yzw,spotify:track:41E8IHP0kDBnCjq2ci1yzw,https://api.spotify.com/v1/tracks/41E8IHP0kDBnCjq2ci1yzw,https://api.spotify.com/v1/audio-analysis/41E8IHP0kDBnCjq2ci1yzw,{'spotify': 'https://open.spotify.com/track/41E8IHP0kDBnCjq2ci1yzw'}
Aquí Otra Vez,Disidencia,0.563,0.916,0,-4.098,1,0.0484,6.63e-05,0.0146,0.403,0.904,94.93,193013,4,audio_features,0Bzs47px3eLLbNyx2b3me7,spotify:track:0Bzs47px3eLLbNyx2b3me7,https://api.spotify.com/v1/tracks/0Bzs47px3eLLbNyx2b3me7,https://api.spotify.com/v1/audio-analysis/0Bzs47px3eLLbNyx2b3me7,{'spotify': 'https://open.spotify.com/track/0Bzs47px3eLLbNyx2b3me7'}
El Mitin,Disidencia,0.457,0.936,5,-4.693,1,0.0342,0.13,8.73e-05,0.231,0.797,95.687,154240,4,audio_features,3WvNuBzL3f67TcLiIfuuaD,spotify:track:3WvNuBzL3f67TcLiIfuuaD,https://api.spotify.com/v1/tracks/3WvNuBzL3f67TcLiIfuuaD,https://api.spotify.com/v1/audio-analysis/3WvNuBzL3f67TcLiIfuuaD,{'spotify': 'https://open.spotify.com/track/3WvNuBzL3f67TcLiIfuuaD'}
Intoxicáis,Simulacro,0.371,0.905,9,-4.775,1,0.0521,0.000194,0.047,0.174,0.565,96.16,193933,4,audio_features,3IFVS0rHiQ8B2fFgbF764n,spotify:track:3IFVS0rHiQ8B2fFgbF764n,https://api.spotify.com/v1/tracks/3IFVS0rHiQ8B2fFgbF764n,https://api.spotify.com/v1/audio-analysis/3IFVS0rHiQ8B2fFgbF764n,{'spotify': 'https://open.spotify.com/track/3IFVS0rHiQ8B2fFgbF764n'}
Incorregible,Simulacro,0.204,0.96,0,-3.513,1,0.0825,0.000402,0.0,0.065,0.497,193.605,158639,4,audio_features,5NB70BILTeZ21QfoQDVk7Y,spotify:track:5NB70BILTeZ21QfoQDVk7Y,https://api.spotify.com/v1/tracks/5NB70BILTeZ21QfoQDVk7Y,https://api.spotify.com/v1/audio-analysis/5NB70BILTeZ21QfoQDVk7Y,{'spotify': 'https://open.spotify.com/track/5NB70BILTeZ21QfoQDVk7Y'}
Sin dejar de sentir,Simulacro,0.391,0.902,9,-6.604,1,0.034,1.83e-05,0.0279,0.0858,0.651,98.2,185280,4,audio_features,3RwbjYMscrapEgRQiv2uDz,spotify:track:3RwbjYMscrapEgRQiv2uDz,https://api.spotify.com/v1/tracks/3RwbjYMscrapEgRQiv2uDz,https://api.spotify.com/v1/audio-analysis/3RwbjYMscrapEgRQiv2uDz,{'spotify': 'https://open.spotify.com/track/3RwbjYMscrapEgRQiv2uDz'}
A la sombra,Simulacro,0.361,0.967,7,-4.012,1,0.0556,5.48e-06,0.000738,0.15,0.703,101.127,163326,4,audio_features,2ZnOQq9Bs8UBd0X8rdpKMM,spotify:track:2ZnOQq9Bs8UBd0X8rdpKMM,https://api.spotify.com/v1/tracks/2ZnOQq9Bs8UBd0X8rdpKMM,https://api.spotify.com/v1/audio-analysis/2ZnOQq9Bs8UBd0X8rdpKMM,{'spotify': 'https://open.spotify.com/track/2ZnOQq9Bs8UBd0X8rdpKMM'}
Esta es para ti,Fe de Ratas,0.649,0.939,0,-5.361,1,0.04,0.0629,6.56e-05,0.0882,0.621,121.484,180213,4,audio_features,67rCrzxKqcAhUVegWId2XD,spotify:track:67rCrzxKqcAhUVegWId2XD,https://api.spotify.com/v1/tracks/67rCrzxKqcAhUVegWId2XD,https://api.spotify.com/v1/audio-analysis/67rCrzxKqcAhUVegWId2XD,{'spotify': 'https://open.spotify.com/track/67rCrzxKqcAhUVegWId2XD'}
Miami's Way of Life,Fe de Ratas,0.518,0.86,0,-5.444,1,0.0736,0.0139,2.53e-06,0.262,0.634,104.857,204519,4,audio_features,5sFzialaq6riL9c3QneKYm,spotify:track:5sFzialaq6riL9c3QneKYm,https://api.spotify.com/v1/tracks/5sFzialaq6riL9c3QneKYm,https://api.spotify.com/v1/audio-analysis/5sFzialaq6riL9c3QneKYm,{'spotify': 'https://open.spotify.com/track/5sFzialaq6riL9c3QneKYm'}
Lo Que Nos Deben,Fe de Ratas,0.437,0.967,4,-5.091,1,0.0765,0.000291,0.00168,0.092,0.535,169.756,223058,4,audio_features,3Ot1T1cSCbzm3qt3fzE4CG,spotify:track:3Ot1T1cSCbzm3qt3fzE4CG,https://api.spotify.com/v1/tracks/3Ot1T1cSCbzm3qt3fzE4CG,https://api.spotify.com/v1/audio-analysis/3Ot1T1cSCbzm3qt3fzE4CG,{'spotify': 'https://open.spotify.com/track/3Ot1T1cSCbzm3qt3fzE4CG'}
Por Si Mañana,Inadaptados,0.56,0.966,7,-4.966,1,0.0496,0.00601,1.54e-06,0.0858,0.754,107.952,183507,4,audio_features,7smfNB0uwVvxKjdtCLKEBc,spotify:track:7smfNB0uwVvxKjdtCLKEBc,https://api.spotify.com/v1/tracks/7smfNB0uwVvxKjdtCLKEBc,https://api.spotify.com/v1/audio-analysis/7smfNB0uwVvxKjdtCLKEBc,{'spotify': 'https://open.spotify.com/track/7smfNB0uwVvxKjdtCLKEBc'}
En Tu Cama,Inadaptados,0.543,0.912,2,-4.953,1,0.073,0.011,1.02e-05,0.366,0.622,119.81,147280,4,audio_features,3W7TQ59aM6vAa51kNct6hB,spotify:track:3W7TQ59aM6vAa51kNct6hB,https://api.spotify.com/v1/tracks/3W7TQ59aM6vAa51kNct6hB,https://api.spotify.com/v1/audio-analysis/3W7TQ59aM6vAa51kNct6hB,{'spotify': 'https://open.spotify.com/track/3W7TQ59aM6vAa51kNct6hB'}
Hijos de la Miseria,Inadaptados,0.493,0.973,7,-5.34,1,0.0756,0.000946,0.0002,0.233,0.52,102.494,240427,4,audio_features,7kFxLPFsQhJAq4SMXnPK7z,spotify:track:7kFxLPFsQhJAq4SMXnPK7z,https://api.spotify.com/v1/tracks/7kFxLPFsQhJAq4SMXnPK7z,https://api.spotify.com/v1/audio-analysis/7kFxLPFsQhJAq4SMXnPK7z,{'spotify': 'https://open.spotify.com/track/7kFxLPFsQhJAq4SMXnPK7z'}
La Función Ya Se Acaba,Inadaptados,0.597,0.92,0,-6.161,1,0.0703,0.0305,3.05e-05,0.284,0.824,120.042,148427,4,audio_features,6uzGyd7kXTzp1E1mzYL4Ps,spotify:track:6uzGyd7kXTzp1E1mzYL4Ps,https://api.spotify.com/v1/tracks/6uzGyd7kXTzp1E1mzYL4Ps,https://api.spotify.com/v1/audio-analysis/6uzGyd7kXTzp1E1mzYL4Ps,{'spotify': 'https://open.spotify.com/track/6uzGyd7kXTzp1E1mzYL4Ps'}
Generales Anormales,Distorsión,0.413,0.967,2,-8.67,1,0.0375,0.00234,0.0158,0.311,0.626,105.539,115486,4,audio_features,3oRs9Qt512PqOIFoE2TWfz,spotify:track:3oRs9Qt512PqOIFoE2TWfz,https://api.spotify.com/v1/tracks/3oRs9Qt512PqOIFoE2TWfz,https://api.spotify.com/v1/audio-analysis/3oRs9Qt512PqOIFoE2TWfz,{'spotify': 'https://open.spotify.com/track/3oRs9Qt512PqOIFoE2TWfz'}
Somos Nada,Distorsión,0.578,0.838,7,-8.704,1,0.0315,0.0162,0.000318,0.279,0.932,101.625,102059,4,audio_features,1pm6ekbXyrvlYjpNfQta12,spotify:track:1pm6ekbXyrvlYjpNfQta12,https://api.spotify.com/v1/tracks/1pm6ekbXyrvlYjpNfQta12,https://api.spotify.com/v1/audio-analysis/1pm6ekbXyrvlYjpNfQta12,{'spotify': 'https://open.spotify.com/track/1pm6ekbXyrvlYjpNfQta12'}
Yo No Keria Bailar,Distorsión,0.377,0.952,7,-9.582,1,0.0714,0.175,0.0,0.194,0.39,98.569,155459,4,audio_features,30numTLxzf1YHbb12jdR7H,spotify:track:30numTLxzf1YHbb12jdR7H,https://api.spotify.com/v1/tracks/30numTLxzf1YHbb12jdR7H,https://api.spotify.com/v1/audio-analysis/30numTLxzf1YHbb12jdR7H,{'spotify': 'https://open.spotify.com/track/30numTLxzf1YHbb12jdR7H'}
Cristales Rotos,Manifa,0.345,0.956,10,-5.312,1,0.0731,0.000359,0.000705,0.125,0.541,164.961,195173,4,audio_features,2NeRL8LyPRFxwWW3mwymsk,spotify:track:2NeRL8LyPRFxwWW3mwymsk,https://api.spotify.com/v1/tracks/2NeRL8LyPRFxwWW3mwymsk,https://api.spotify.com/v1/audio-analysis/2NeRL8LyPRFxwWW3mwymsk,{'spotify': 'https://open.spotify.com/track/2NeRL8LyPRFxwWW3mwymsk'}
Dios Salve al Viña,Manifa,0.402,0.98,1,-3.524,1,0.0862,0.0117,0.0,0.0892,0.601,139.945,222427,4,audio_features,0RGirfCYUWf8djtvajI1sy,spotify:track:0RGirfCYUWf8djtvajI1sy,https://api.spotify.com/v1/tracks/0RGirfCYUWf8djtvajI1sy,https://api.spotify.com/v1/audio-analysis/0RGirfCYUWf8djtvajI1sy,{'spotify': 'https://open.spotify.com/track/0RGirfCYUWf8djtvajI1sy'}
A las Mariscadas,Manifa,0.389,0.927,5,-5.472,1,0.0606,0.0012,0.00127,0.612,0.788,160.094,140453,4,audio_features,1vWLktchLfaLGng3YDi1q7,spotify:track:1vWLktchLfaLGng3YDi1q7,https://api.spotify.com/v1/tracks/1vWLktchLfaLGng3YDi1q7,https://api.spotify.com/v1/audio-analysis/1vWLktchLfaLGng3YDi1q7,{'spotify': 'https://open.spotify.com/track/1vWLktchLfaLGng3YDi1q7'}
Lo Legal Me Aburre,Ni por favor ni ostias,0.489,0.69,0,-8.25,1,0.0453,0.000837,0.0,0.0571,0.844,72.515,234097,4,audio_features,0ccMnv121CFSQgcDCZs7UL,spotify:track:0ccMnv121CFSQgcDCZs7UL,https://api.spotify.com/v1/tracks/0ccMnv121CFSQgcDCZs7UL,https://api.spotify.com/v1/audio-analysis/0ccMnv121CFSQgcDCZs7UL,{'spotify': 'https://open.spotify.com/track/0ccMnv121CFSQgcDCZs7UL'}
Makina Total Full - Maqueta,Ni por favor ni ostias,0.307,0.887,6,-9.063,1,0.0964,0.00714,0.000123,0.252,0.738,122.552,118009,4,audio_features,3ET6g41Kf5ONkeYilkGKMK,spotify:track:3ET6g41Kf5ONkeYilkGKMK,https://api.spotify.com/v1/tracks/3ET6g41Kf5ONkeYilkGKMK,https://api.spotify.com/v1/audio-analysis/3ET6g41Kf5ONkeYilkGKMK,{'spotify': 'https://open.spotify.com/track/3ET6g41Kf5ONkeYilkGKMK'}
Marijuana - Directo,Ni por favor ni ostias,0.311,0.991,2,-5.461,1,0.143,0.000689,0.000175,0.949,0.144,119.748,212572,4,audio_features,1i3206Tv0xQ7Dt3jRbEQpR,spotify:track:1i3206Tv0xQ7Dt3jRbEQpR,https://api.spotify.com/v1/tracks/1i3206Tv0xQ7Dt3jRbEQpR,https://api.spotify.com/v1/audio-analysis/1i3206Tv0xQ7Dt3jRbEQpR,{'spotify': 'https://open.spotify.com/track/1i3206Tv0xQ7Dt3jRbEQpR'}
Amanece,Chicharrica,0.327,0.989,0,-5.532,0,0.0926,0.32,0.000142,0.15,0.44,170.421,212293,4,audio_features,1IEAdc4FWEDCAydBnvVsli,spotify:track:1IEAdc4FWEDCAydBnvVsli,https://api.spotify.com/v1/tracks/1IEAdc4FWEDCAydBnvVsli,https://api.spotify.com/v1/audio-analysis/1IEAdc4FWEDCAydBnvVsli,{'spotify': 'https://open.spotify.com/track/1IEAdc4FWEDCAydBnvVsli'}
Quiero Romper,Chicharrica,0.543,0.992,4,-4.691,1,0.135,0.00338,0.0,0.315,0.427,179.064,168240,4,audio_features,3nzNXDGPj17ojF6yTXLWbw,spotify:track:3nzNXDGPj17ojF6yTXLWbw,https://api.spotify.com/v1/tracks/3nzNXDGPj17ojF6yTXLWbw,https://api.spotify.com/v1/audio-analysis/3nzNXDGPj17ojF6yTXLWbw,{'spotify': 'https://open.spotify.com/track/3nzNXDGPj17ojF6yTXLWbw'}
Defiance,Chicharrica,0.591,0.988,8,-5.261,1,0.0816,0.00786,0.0,0.218,0.621,92.03,249693,4,audio_features,2rGLslbMLXnYUWaaT8afLY,spotify:track:2rGLslbMLXnYUWaaT8afLY,https://api.spotify.com/v1/tracks/2rGLslbMLXnYUWaaT8afLY,https://api.spotify.com/v1/audio-analysis/2rGLslbMLXnYUWaaT8afLY,{'spotify': 'https://open.spotify.com/track/2rGLslbMLXnYUWaaT8afLY'}
La bandera de la libertad,Banda Jachís,0.454,0.984,6,-4.593,0,0.0453,0.000517,0.0105,0.472,0.676,104.999,142293,4,audio_features,3IgV2zcmA7VPOxWP9crH3T,spotify:track:3IgV2zcmA7VPOxWP9crH3T,https://api.spotify.com/v1/tracks/3IgV2zcmA7VPOxWP9crH3T,https://api.spotify.com/v1/audio-analysis/3IgV2zcmA7VPOxWP9crH3T,{'spotify': 'https://open.spotify.com/track/3IgV2zcmA7VPOxWP9crH3T'}
Seguro que saben algo,Banda Jachís,0.36,0.844,2,-5.336,1,0.0948,0.00452,0.000452,0.171,0.736,77.847,135560,3,audio_features,2fee4JYrrMZJtkZi6eTLy4,spotify:track:2fee4JYrrMZJtkZi6eTLy4,https://api.spotify.com/v1/tracks/2fee4JYrrMZJtkZi6eTLy4,https://api.spotify.com/v1/audio-analysis/2fee4JYrrMZJtkZi6eTLy4,{'spotify': 'https://open.spotify.com/track/2fee4JYrrMZJtkZi6eTLy4'}
La razón de amarte,Banda Jachís,0.697,0.646,6,-8.844,0,0.0417,0.753,0.0,0.359,0.909,104.863,154987,4,audio_features,33Jjhqj1Mywu18iVidgmUi,spotify:track:33Jjhqj1Mywu18iVidgmUi,https://api.spotify.com/v1/tracks/33Jjhqj1Mywu18iVidgmUi,https://api.spotify.com/v1/audio-analysis/33Jjhqj1Mywu18iVidgmUi,{'spotify': 'https://open.spotify.com/track/33Jjhqj1Mywu18iVidgmUi'}
Va por Ti,Puagh,0.327,0.979,2,-4.275,1,0.0513,0.00583,0.0,0.501,0.59,100.642,190493,4,audio_features,4mFFQIaQg4H1rwfD0d3VnS,spotify:track:4mFFQIaQg4H1rwfD0d3VnS,https://api.spotify.com/v1/tracks/4mFFQIaQg4H1rwfD0d3VnS,https://api.spotify.com/v1/audio-analysis/4mFFQIaQg4H1rwfD0d3VnS,{'spotify': 'https://open.spotify.com/track/4mFFQIaQg4H1rwfD0d3VnS'}
No Abandones,Puagh,0.461,0.973,2,-3.363,1,0.0463,0.000643,8.87e-06,0.4,0.475,104.293,152507,4,audio_features,2j42wUPunOF0yiKBynguPD,spotify:track:2j42wUPunOF0yiKBynguPD,https://api.spotify.com/v1/tracks/2j42wUPunOF0yiKBynguPD,https://api.spotify.com/v1/audio-analysis/2j42wUPunOF0yiKBynguPD,{'spotify': 'https://open.spotify.com/track/2j42wUPunOF0yiKBynguPD'}
Te Fuiste a la Rave,Puagh,0.391,0.895,0,-3.824,1,0.0522,0.00663,0.0,0.169,0.201,124.097,152507,3,audio_features,3Vv72YOu8edgZEnD2W58cR,spotify:track:3Vv72YOu8edgZEnD2W58cR,https://api.spotify.com/v1/tracks/3Vv72YOu8edgZEnD2W58cR,https://api.spotify.com/v1/audio-analysis/3Vv72YOu8edgZEnD2W58cR,{'spotify': 'https://open.spotify.com/track/3Vv72YOu8edgZEnD2W58cR'}
Condenado,RIP,0.145,0.986,8,-7.067,1,0.15,0.00364,0.0635,0.105,0.0492,165.86,208968,4,audio_features,4i4weWtjib1uFIrhhKfsvC,spotify:track:4i4weWtjib1uFIrhhKfsvC,https://api.spotify.com/v1/tracks/4i4weWtjib1uFIrhhKfsvC,https://api.spotify.com/v1/audio-analysis/4i4weWtjib1uFIrhhKfsvC,{'spotify': 'https://open.spotify.com/track/4i4weWtjib1uFIrhhKfsvC'}
Escoria,RIP,0.191,0.967,7,-7.132,1,0.155,0.0891,0.0341,0.208,0.0999,186.508,109147,4,audio_features,0GHdh6MiCQtb0ix5T1EGY3,spotify:track:0GHdh6MiCQtb0ix5T1EGY3,https://api.spotify.com/v1/tracks/0GHdh6MiCQtb0ix5T1EGY3,https://api.spotify.com/v1/audio-analysis/0GHdh6MiCQtb0ix5T1EGY3,{'spotify': 'https://open.spotify.com/track/0GHdh6MiCQtb0ix5T1EGY3'}
Enamorado de la Muerte,RIP,0.296,0.902,9,-6.37,1,0.0849,0.0293,0.00216,0.0746,0.203,100.713,226094,4,audio_features,4en5NpD2ZD6CpHeHIFTbzp,spotify:track:4en5NpD2ZD6CpHeHIFTbzp,https://api.spotify.com/v1/tracks/4en5NpD2ZD6CpHeHIFTbzp,https://api.spotify.com/v1/audio-analysis/4en5NpD2ZD6CpHeHIFTbzp,{'spotify': 'https://open.spotify.com/track/4en5NpD2ZD6CpHeHIFTbzp'}
Link En Bio,XpresidentX,0.569,0.97,9,-2.858,0,0.203,0.000501,0.0,0.656,0.679,109.953,158919,4,audio_features,7lY3AWwrC3xOaHd5z0bzHH,spotify:track:7lY3AWwrC3xOaHd5z0bzHH,https://api.spotify.com/v1/tracks/7lY3AWwrC3xOaHd5z0bzHH,https://api.spotify.com/v1/audio-analysis/7lY3AWwrC3xOaHd5z0bzHH,{'spotify': 'https://open.spotify.com/track/7lY3AWwrC3xOaHd5z0bzHH'}
Especismo,XpresidentX,0.63,0.997,7,-4.06,1,0.15,0.0788,0.0,0.347,0.731,159.813,195520,4,audio_features,6swDk0nn9uK0LNmCqsIzA6,spotify:track:6swDk0nn9uK0LNmCqsIzA6,https://api.spotify.com/v1/tracks/6swDk0nn9uK0LNmCqsIzA6,https://api.spotify.com/v1/audio-analysis/6swDk0nn9uK0LNmCqsIzA6,{'spotify': 'https://open.spotify.com/track/6swDk0nn9uK0LNmCqsIzA6'}
Siempre Libres,Subestimados,0.451,0.961,0,-1.86,1,0.0933,0.0202,1.04e-06,0.177,0.566,164.904,259918,4,audio_features,2kMmCY9lBUbnoKKaqhpzh2,spotify:track:2kMmCY9lBUbnoKKaqhpzh2,https://api.spotify.com/v1/tracks/2kMmCY9lBUbnoKKaqhpzh2,https://api.spotify.com/v1/audio-analysis/2kMmCY9lBUbnoKKaqhpzh2,{'spotify': 'https://open.spotify.com/track/2kMmCY9lBUbnoKKaqhpzh2'}
Conciencia de Clase,Subestimados,0.462,0.967,0,-1.995,1,0.096,0.00671,0.0,0.38,0.612,152.048,239856,4,audio_features,1q4iNYT5Q1dibiXLsRHwmP,spotify:track:1q4iNYT5Q1dibiXLsRHwmP,https://api.spotify.com/v1/tracks/1q4iNYT5Q1dibiXLsRHwmP,https://api.spotify.com/v1/audio-analysis/1q4iNYT5Q1dibiXLsRHwmP,{'spotify': 'https://open.spotify.com/track/1q4iNYT5Q1dibiXLsRHwmP'}
Hasta Que el Estado Nos Separe,Último Rekurso,0.477,0.956,1,-6.05,1,0.0846,8.72e-05,0.00154,0.119,0.803,186.098,192348,4,audio_features,4sC8kmJ8sWCtcm6ehQ0qqK,spotify:track:4sC8kmJ8sWCtcm6ehQ0qqK,https://api.spotify.com/v1/tracks/4sC8kmJ8sWCtcm6ehQ0qqK,https://api.spotify.com/v1/audio-analysis/4sC8kmJ8sWCtcm6ehQ0qqK,{'spotify': 'https://open.spotify.com/track/4sC8kmJ8sWCtcm6ehQ0qqK'}
Adictos al Kaos,Último Rekurso,0.442,0.986,1,-5.954,1,0.147,0.000801,7.52e-06,0.484,0.493,180.134,132353,4,audio_features,3kqmPiLbplvrrnXcikTEZq,spotify:track:3kqmPiLbplvrrnXcikTEZq,https://api.spotify.com/v1/tracks/3kqmPiLbplvrrnXcikTEZq,https://api.spotify.com/v1/audio-analysis/3kqmPiLbplvrrnXcikTEZq,{'spotify': 'https://open.spotify.com/track/3kqmPiLbplvrrnXcikTEZq'}
Esto Es Rock&Roll,Macarrada,0.437,0.902,11,-4.899,0,0.0686,1.79e-05,0.254,0.126,0.612,139.001,144053,4,audio_features,1ddUzdV007uO8VBRXRxany,spotify:track:1ddUzdV007uO8VBRXRxany,https://api.spotify.com/v1/tracks/1ddUzdV007uO8VBRXRxany,https://api.spotify.com/v1/audio-analysis/1ddUzdV007uO8VBRXRxany,{'spotify': 'https://open.spotify.com/track/1ddUzdV007uO8VBRXRxany'}
En el Fondo Del Bar,Macarrada,0.585,0.905,0,-4.25,1,0.0559,0.00179,7.84e-05,0.216,0.589,95.642,127898,4,audio_features,4f7cKLlX4Ld1Hag5rZOx86,spotify:track:4f7cKLlX4Ld1Hag5rZOx86,https://api.spotify.com/v1/tracks/4f7cKLlX4Ld1Hag5rZOx86,https://api.spotify.com/v1/audio-analysis/4f7cKLlX4Ld1Hag5rZOx86,{'spotify': 'https://open.spotify.com/track/4f7cKLlX4Ld1Hag5rZOx86'}
"No Hay Futuro, No Hay Esperanza",Oi! The Arrase,0.235,0.957,2,-3.324,1,0.119,0.000811,0.0,0.337,0.371,104.796,265973,3,audio_features,3rKYVe4RSecUCMcKB3vhzc,spotify:track:3rKYVe4RSecUCMcKB3vhzc,https://api.spotify.com/v1/tracks/3rKYVe4RSecUCMcKB3vhzc,https://api.spotify.com/v1/audio-analysis/3rKYVe4RSecUCMcKB3vhzc,{'spotify': 'https://open.spotify.com/track/3rKYVe4RSecUCMcKB3vhzc'}
Solidaridad,Oi! The Arrase,0.415,0.916,9,-4.29,0,0.201,0.148,0.0,0.133,0.509,135.858,244707,4,audio_features,3uT4WXAcNfdnH4PHsmIa3T,spotify:track:3uT4WXAcNfdnH4PHsmIa3T,https://api.spotify.com/v1/tracks/3uT4WXAcNfdnH4PHsmIa3T,https://api.spotify.com/v1/audio-analysis/3uT4WXAcNfdnH4PHsmIa3T,{'spotify': 'https://open.spotify.com/track/3uT4WXAcNfdnH4PHsmIa3T'}
Hace unos años,Hirurko,0.258,0.887,0,-4.462,1,0.041,0.0034,0.0,0.645,0.798,79.56,209613,4,audio_features,2F1Cwsgf5gM3F7dBGzRToU,spotify:track:2F1Cwsgf5gM3F7dBGzRToU,https://api.spotify.com/v1/tracks/2F1Cwsgf5gM3F7dBGzRToU,https://api.spotify.com/v1/audio-analysis/2F1Cwsgf5gM3F7dBGzRToU,{'spotify': 'https://open.spotify.com/track/2F1Cwsgf5gM3F7dBGzRToU'}
Estudiante,Hirurko,0.304,0.913,0,-3.389,1,0.0573,0.00363,8.48e-06,0.36,0.495,97.057,214947,4,audio_features,1NE1TRElHZ1QBdKsBP6Js0,spotify:track:1NE1TRElHZ1QBdKsBP6Js0,https://api.spotify.com/v1/tracks/1NE1TRElHZ1QBdKsBP6Js0,https://api.spotify.com/v1/audio-analysis/1NE1TRElHZ1QBdKsBP6Js0,{'spotify': 'https://open.spotify.com/track/1NE1TRElHZ1QBdKsBP6Js0'}
Libre Al Fin,La Furia,0.484,0.661,11,-6.316,0,0.109,0.143,0.128,0.108,0.847,151.113,222427,4,audio_features,6f4sSrO1McnmIEI1wApNBx,spotify:track:6f4sSrO1McnmIEI1wApNBx,https://api.spotify.com/v1/tracks/6f4sSrO1McnmIEI1wApNBx,https://api.spotify.com/v1/audio-analysis/6f4sSrO1McnmIEI1wApNBx,{'spotify': 'https://open.spotify.com/track/6f4sSrO1McnmIEI1wApNBx'}
Koka - Kola,La Furia,0.483,0.723,11,-6.979,0,0.224,0.158,3.22e-06,0.0872,0.806,167.388,107053,4,audio_features,7r83owSi5gOTybAI0o24iE,spotify:track:7r83owSi5gOTybAI0o24iE,https://api.spotify.com/v1/tracks/7r83owSi5gOTybAI0o24iE,https://api.spotify.com/v1/audio-analysis/7r83owSi5gOTybAI0o24iE,{'spotify': 'https://open.spotify.com/track/7r83owSi5gOTybAI0o24iE'}
Vamonos de aqui,The Radio Clash,0.626,0.962,7,-2.464,0,0.0788,0.0217,3.41e-05,0.574,0.618,105.005,100066,4,audio_features,240aRgDUm3zVGAIhB34CVG,spotify:track:240aRgDUm3zVGAIhB34CVG,https://api.spotify.com/v1/tracks/240aRgDUm3zVGAIhB34CVG,https://api.spotify.com/v1/audio-analysis/240aRgDUm3zVGAIhB34CVG,{'spotify': 'https://open.spotify.com/track/240aRgDUm3zVGAIhB34CVG'}
