song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Mierda De Ciudad,Kortatu,0.522,0.644,2,-11.385,1,0.0534,0.223,0.0,0.75,0.914,154.978,197480,4,audio_features,6lSJZiZqWU8Qt1fJVeFZEv,spotify:track:6lSJZiZqWU8Qt1fJVeFZEv,https://api.spotify.com/v1/tracks/6lSJZiZqWU8Qt1fJVeFZEv,https://api.spotify.com/v1/audio-analysis/6lSJZiZqWU8Qt1fJVeFZEv,{'spotify': 'https://open.spotify.com/track/6lSJZiZqWU8Qt1fJVeFZEv'}
A La Calle,Kortatu,0.544,0.672,9,-12.861,1,0.0876,0.00927,0.000175,0.144,0.658,103.605,244987,4,audio_features,2tifYa1N1sWoWlpV7D8haA,spotify:track:2tifYa1N1sWoWlpV7D8haA,https://api.spotify.com/v1/tracks/2tifYa1N1sWoWlpV7D8haA,https://api.spotify.com/v1/audio-analysis/2tifYa1N1sWoWlpV7D8haA,{'spotify': 'https://open.spotify.com/track/2tifYa1N1sWoWlpV7D8haA'}
La Linea del Frente,Kortatu,0.375,0.752,4,-8.294,1,0.0559,0.0421,2.41e-06,0.538,0.824,162.023,241560,4,audio_features,1EMaKyJCQIfPPRUEHdW3Wk,spotify:track:1EMaKyJCQIfPPRUEHdW3Wk,https://api.spotify.com/v1/tracks/1EMaKyJCQIfPPRUEHdW3Wk,https://api.spotify.com/v1/audio-analysis/1EMaKyJCQIfPPRUEHdW3Wk,{'spotify': 'https://open.spotify.com/track/1EMaKyJCQIfPPRUEHdW3Wk'}
Jainkoak Gorde Beza Lehendakaria,Negu Gorriak,0.31,0.954,5,-7.228,1,0.0806,0.0149,0.0,0.355,0.509,130.383,137053,4,audio_features,5gc0SYzwuBlObAqDFyMVa2,spotify:track:5gc0SYzwuBlObAqDFyMVa2,https://api.spotify.com/v1/tracks/5gc0SYzwuBlObAqDFyMVa2,https://api.spotify.com/v1/audio-analysis/5gc0SYzwuBlObAqDFyMVa2,{'spotify': 'https://open.spotify.com/track/5gc0SYzwuBlObAqDFyMVa2'}
Juerga,Cizaña,0.511,0.991,4,-4.16,1,0.123,0.0256,0.0,0.185,0.397,97.733,182857,4,audio_features,6dmaBgrJFB1QkE8sfCzNSe,spotify:track:6dmaBgrJFB1QkE8sfCzNSe,https://api.spotify.com/v1/tracks/6dmaBgrJFB1QkE8sfCzNSe,https://api.spotify.com/v1/audio-analysis/6dmaBgrJFB1QkE8sfCzNSe,{'spotify': 'https://open.spotify.com/track/6dmaBgrJFB1QkE8sfCzNSe'}
Pobre Licenciado,Cizaña,0.468,0.961,9,-6.479,1,0.351,0.0146,0.0,0.26,0.232,151.644,253571,4,audio_features,5Xy3kriqyQ9ihrH3glmvUS,spotify:track:5Xy3kriqyQ9ihrH3glmvUS,https://api.spotify.com/v1/tracks/5Xy3kriqyQ9ihrH3glmvUS,https://api.spotify.com/v1/audio-analysis/5Xy3kriqyQ9ihrH3glmvUS,{'spotify': 'https://open.spotify.com/track/5Xy3kriqyQ9ihrH3glmvUS'}
Algún Día...,Cizaña,0.393,0.964,11,-5.753,1,0.155,0.00706,0.0,0.175,0.775,139.852,163657,4,audio_features,4twlO0SMHFoHbYbpoxM0yd,spotify:track:4twlO0SMHFoHbYbpoxM0yd,https://api.spotify.com/v1/tracks/4twlO0SMHFoHbYbpoxM0yd,https://api.spotify.com/v1/audio-analysis/4twlO0SMHFoHbYbpoxM0yd,{'spotify': 'https://open.spotify.com/track/4twlO0SMHFoHbYbpoxM0yd'}
Cuéntame,Cizaña,0.496,0.928,7,-4.577,1,0.157,0.0496,0.0,0.0792,0.655,140.643,266762,4,audio_features,4M1IHbWFLugTQrvOIdPgIh,spotify:track:4M1IHbWFLugTQrvOIdPgIh,https://api.spotify.com/v1/tracks/4M1IHbWFLugTQrvOIdPgIh,https://api.spotify.com/v1/audio-analysis/4M1IHbWFLugTQrvOIdPgIh,{'spotify': 'https://open.spotify.com/track/4M1IHbWFLugTQrvOIdPgIh'}
Ni Dios Ni Amo,Los Muertos de Cristo,0.332,0.894,11,-6.106,0,0.0471,0.0207,0.0,0.125,0.641,174.007,164833,4,audio_features,2RkipX6jdv4jEBU99SpH8p,spotify:track:2RkipX6jdv4jEBU99SpH8p,https://api.spotify.com/v1/tracks/2RkipX6jdv4jEBU99SpH8p,https://api.spotify.com/v1/audio-analysis/2RkipX6jdv4jEBU99SpH8p,{'spotify': 'https://open.spotify.com/track/2RkipX6jdv4jEBU99SpH8p'}
Obreros Somos,Los Muertos de Cristo,0.291,0.88,2,-5.301,1,0.0478,0.0266,0.00037,0.0797,0.312,178.834,284186,4,audio_features,4plj4Q0DglThj4bfSpNe23,spotify:track:4plj4Q0DglThj4bfSpNe23,https://api.spotify.com/v1/tracks/4plj4Q0DglThj4bfSpNe23,https://api.spotify.com/v1/audio-analysis/4plj4Q0DglThj4bfSpNe23,{'spotify': 'https://open.spotify.com/track/4plj4Q0DglThj4bfSpNe23'}
